Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAEQgen6,-15.3,0.0,0.0
6lu7_idAAEQgen6,-15.2,7.751,3.712
6lu7_idAAEXgen6,-14.7,0.0,0.0
6lu7_idAABEgen6,-14.6,0.0,0.0
6lu7_idAABEgen6,-14.2,5.102,2.047
6lu7_idAACNgen6,-14.2,0.0,0.0
6lu7_idAADYgen6,-14.1,0.0,0.0
6lu7_idAAGAgen6,-13.7,0.0,0.0
6lu7_idAAEQgen6,-13.7,17.419,13.671
6lu7_idAAEQgen6,-13.7,42.992,37.642
6lu7_idAAEQgen6,-13.7,9.673,2.253
6lu7_idAAEXgen6,-13.7,18.581,17.386
6lu7_idAAEXgen6,-13.7,23.52,21.256
6lu7_idAAGFgen6,-13.6,0.0,0.0
6lu7_idAAEXgen6,-13.6,40.134,35.493
6lu7_idAAEXgen6,-13.5,37.202,35.356
6lu7_idAAEXgen6,-13.5,29.372,26.345
6lu7_idAAGAgen6,-13.4,10.132,2.237
6lu7_idAAGAgen6,-13.4,35.434,33.632
6lu7_idAAGAgen6,-13.4,20.297,18.387
6lu7_idAAEVgen6,-13.4,0.0,0.0
6lu7_idAAEVgen6,-13.4,6.754,1.26
6lu7_idAAEXgen6,-13.4,17.638,15.891
6lu7_idAAGAgen6,-13.3,19.339,18.409
6lu7_idAAFJgen6,-13.3,0.0,0.0
6lu7_idAAETgen6,-13.3,0.0,0.0
6lu7_idAAETgen6,-13.3,2.611,1.629
6lu7_idAAGAgen6,-13.2,22.313,18.237
6lu7_idAAGAgen6,-13.2,8.774,0.835
6lu7_idAACUgen6,-13.2,0.0,0.0
6lu7_idAAEQgen6,-13.2,5.879,2.126
6lu7_idAAEQgen6,-13.2,8.95,2.12
6lu7_idAAEQgen6,-13.2,8.207,2.652
6lu7_idAAEQgen6,-13.2,17.403,13.87
6lu7_idAAEXgen6,-13.2,7.695,1.728
6lu7_idAAGFgen6,-13.1,4.955,3.106
6lu7_idAAGFgen6,-13.1,2.177,1.416
6lu7_idAAGAgen6,-13.1,14.071,6.1
6lu7_idAAFJgen6,-13.1,6.894,1.897
6lu7_idAABEgen6,-13.1,8.221,2.885
6lu7_idAABQgen6,-13.1,0.0,0.0
6lu7_idAACYgen6,-13.1,0.0,0.0
6lu7_idAAEXgen6,-13.1,25.071,21.743
6lu7_idAAFJgen6,-13.0,7.813,1.446
6lu7_idAAEVgen6,-13.0,7.441,1.301
6lu7_idAAGAgen6,-12.9,19.845,18.22
6lu7_idAAFJgen6,-12.9,7.976,1.946
6lu7_idAAFJgen6,-12.9,6.893,1.891
6lu7_idAAACgen6,-12.9,0.0,0.0
6lu7_idAAACgen6,-12.9,13.657,8.438
6lu7_idAADQgen6,-12.8,0.0,0.0
6lu7_idAAEVgen6,-12.8,6.926,1.888
6lu7_idAABEgen6,-12.7,32.963,29.812
6lu7_idAABOgen6,-12.7,0.0,0.0
6lu7_idAACNgen6,-12.7,7.206,1.816
6lu7_idAAEHgen6,-12.7,0.0,0.0
6lu7_idAAEVgen6,-12.7,8.144,2.752
6lu7_idAAEVgen6,-12.7,10.323,2.276
6lu7_idAAFJgen6,-12.6,7.84,1.836
6lu7_idAABEgen6,-12.5,14.926,13.67
6lu7_idAABEgen6,-12.5,7.461,2.226
6lu7_idAACUgen6,-12.5,9.86,1.709
6lu7_idAADQgen6,-12.5,10.096,3.736
6lu7_idAAETgen6,-12.5,10.716,3.302
6lu7_idAAGGgen6,-12.4,3.888,2.607
6lu7_idAAGGgen6,-12.4,0.0,0.0
6lu7_idAAFJgen6,-12.4,7.698,1.993
6lu7_idAABEgen6,-12.4,8.13,4.516
6lu7_idAAEVgen6,-12.4,9.386,3.312
6lu7_idAAGFgen6,-12.3,7.072,3.1
6lu7_idAAACgen6,-12.3,13.903,7.726
6lu7_idAABEgen6,-12.3,6.998,2.743
6lu7_idAABYgen6,-12.3,0.0,0.0
6lu7_idAADQgen6,-12.3,5.428,2.889
6lu7_idAAEVgen6,-12.3,7.325,1.481
6lu7_idAAGFgen6,-12.2,8.105,2.073
6lu7_idAAFJgen6,-12.2,7.862,2.926
6lu7_idAAACgen6,-12.2,3.047,1.665
6lu7_idAABYgen6,-12.2,7.87,2.43
6lu7_idAABYgen6,-12.2,2.485,1.549
6lu7_idAACMgen6,-12.2,0.0,0.0
6lu7_idAACYgen6,-12.2,4.468,2.836
6lu7_idAACYgen6,-12.2,2.032,1.334
6lu7_idAAETgen6,-12.2,37.325,31.427
6lu7_idAAEVgen6,-12.2,7.459,2.39
6lu7_idAAGIgen6,-12.1,0.0,0.0
6lu7_idAAGFgen6,-12.1,2.102,1.265
6lu7_idAAFJgen6,-12.1,9.796,1.94
6lu7_idAAACgen6,-12.1,27.812,21.337
6lu7_idAAACgen6,-12.1,27.301,21.373
6lu7_idAABEgen6,-12.1,19.811,17.684
6lu7_idAABYgen6,-12.1,7.931,1.719
6lu7_idAADQgen6,-12.1,4.937,2.279
6lu7_idAADYgen6,-12.1,7.194,1.941
6lu7_idAAGBgen6,-12.0,0.0,0.0
6lu7_idAAACgen6,-12.0,13.366,6.83
6lu7_idAAACgen6,-12.0,27.465,21.981
6lu7_idAABOgen6,-12.0,6.915,1.62
6lu7_idAABOgen6,-12.0,36.113,30.073
6lu7_idAACNgen6,-12.0,19.585,12.228
6lu7_idAAGIgen6,-11.9,24.668,17.296
6lu7_idAAACgen6,-11.9,9.934,5.901
