Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAAVgen4,-13.4,0.0,0.0
6lu7_idAABCgen4,-13.3,0.0,0.0
6lu7_idAAAHgen4,-13.0,0.0,0.0
6lu7_idAAADgen4,-12.8,0.0,0.0
6lu7_idAAADgen4,-12.8,13.68,8.458
6lu7_idAAAVgen4,-12.5,19.341,7.61
6lu7_idAAAVgen4,-12.5,1.041,1.041
6lu7_idAAADgen4,-12.2,11.828,7.154
6lu7_idAABAgen4,-12.1,0.0,0.0
6lu7_idAAADgen4,-12.1,12.703,3.447
6lu7_idAAAQgen4,-12.1,0.0,0.0
6lu7_idAAAVgen4,-12.0,21.983,12.159
6lu7_idAAAVgen4,-12.0,13.078,3.375
6lu7_idAAADgen4,-12.0,23.149,16.716
6lu7_idAAADgen4,-12.0,30.716,24.856
6lu7_idAAAUgen4,-11.9,0.0,0.0
6lu7_idAAADgen4,-11.9,33.82,27.962
6lu7_idAAAXgen4,-11.8,0.0,0.0
6lu7_idAAADgen4,-11.8,42.149,35.744
6lu7_idAAADgen4,-11.8,7.994,3.789
6lu7_idAABAgen4,-11.7,6.443,1.681
6lu7_idAAAUgen4,-11.7,2.322,1.024
6lu7_idAAAQgen4,-11.7,8.232,1.023
6lu7_idAAAVgen4,-11.6,33.564,29.199
6lu7_idAAAGgen4,-11.6,0.0,0.0
6lu7_idAAAQgen4,-11.6,7.407,2.022
6lu7_idAAAVgen4,-11.5,30.5,23.515
6lu7_idAAAVgen4,-11.5,18.261,15.936
6lu7_idAAAHgen4,-11.5,7.412,2.616
6lu7_idAAASgen4,-11.5,0.0,0.0
6lu7_idAAAVgen4,-11.4,15.349,7.186
6lu7_idAAAXgen4,-11.3,8.451,1.448
6lu7_idAAAJgen4,-11.3,5.687,3.121
6lu7_idAAAJgen4,-11.3,0.0,0.0
6lu7_idAAAQgen4,-11.3,8.573,2.116
6lu7_idAAASgen4,-11.3,7.76,1.568
6lu7_idAABAgen4,-11.2,28.013,23.072
