Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAFMgen4,-8.6,27.539,22.105
6lu7_idAAFMgen4,-8.7,23.804,19.629
6lu7_idAAFMgen4,-8.7,23.845,19.692
6lu7_idAAFMgen4,-8.7,29.097,23.42
6lu7_idAAFMgen4,-8.7,28.713,23.96
6lu7_idAAFMgen4,-8.8,28.176,23.909
6lu7_idAAFMgen4,-8.8,10.451,2.913
6lu7_idAAFMgen4,-9.0,0.0,0.0
6lu7_idAAFKgen4,-11.2,26.049,23.45
6lu7_idAAFKgen4,-11.3,25.129,23.935
6lu7_idAAFKgen4,-11.4,14.124,4.986
6lu7_idAAFKgen4,-11.5,33.271,31.008
6lu7_idAAFKgen4,-11.5,13.087,3.579
6lu7_idAAFKgen4,-11.6,20.061,15.276
6lu7_idAAFKgen4,-11.7,13.894,6.972
6lu7_idAAFKgen4,-11.7,23.126,17.355
6lu7_idAAFKgen4,-12.1,0.0,0.0
6lu7_idAAFJgen4,-10.2,8.005,2.412
6lu7_idAAFJgen4,-10.3,10.507,2.608
6lu7_idAAFJgen4,-10.3,42.836,37.306
6lu7_idAAFJgen4,-10.4,20.624,15.262
6lu7_idAAFJgen4,-10.5,5.679,3.069
6lu7_idAAFJgen4,-10.6,7.855,2.618
6lu7_idAAFJgen4,-10.9,7.429,2.069
6lu7_idAAFJgen4,-11.7,6.668,1.554
6lu7_idAAFJgen4,-12.1,0.0,0.0
6lu7_idAAFIgen4,-8.3,41.812,37.117
6lu7_idAAFIgen4,-8.4,7.292,4.432
6lu7_idAAFIgen4,-8.4,9.603,2.778
6lu7_idAAFIgen4,-8.4,4.53,2.834
6lu7_idAAFIgen4,-8.4,2.149,1.533
6lu7_idAAFIgen4,-8.5,3.241,2.176
6lu7_idAAFIgen4,-8.6,6.685,2.546
6lu7_idAAFIgen4,-8.8,23.898,23.494
6lu7_idAAFIgen4,-9.7,0.0,0.0
6lu7_idAAFHgen4,-6.6,26.15,23.801
6lu7_idAAFHgen4,-6.8,26.967,24.185
6lu7_idAAFHgen4,-6.8,7.365,1.486
6lu7_idAAFHgen4,-6.8,7.655,5.178
6lu7_idAAFHgen4,-7.0,33.448,30.583
6lu7_idAAFHgen4,-7.2,6.216,5.02
6lu7_idAAFHgen4,-7.3,25.518,22.446
6lu7_idAAFHgen4,-7.9,0.0,0.0
6lu7_idAAFHgen4,-7.9,2.391,1.717
6lu7_idAAFGgen4,-9.4,41.573,36.386
6lu7_idAAFGgen4,-9.7,30.223,29.443
6lu7_idAAFGgen4,-9.9,35.879,30.876
6lu7_idAAFGgen4,-10.1,10.425,2.984
6lu7_idAAFGgen4,-10.2,42.81,37.356
6lu7_idAAFGgen4,-10.5,5.625,3.094
6lu7_idAAFGgen4,-10.6,7.747,2.724
6lu7_idAAFGgen4,-10.7,7.41,2.959
6lu7_idAAFGgen4,-11.9,0.0,0.0
6lu7_idAAFFgen4,-11.8,29.122,22.885
6lu7_idAAFFgen4,-11.9,10.135,3.187
6lu7_idAAFFgen4,-11.9,44.551,39.521
6lu7_idAAFFgen4,-12.0,45.263,39.121
6lu7_idAAFFgen4,-12.0,30.389,26.806
6lu7_idAAFFgen4,-12.0,35.098,29.993
6lu7_idAAFFgen4,-12.1,12.907,2.922
6lu7_idAAFFgen4,-12.7,11.209,3.063
6lu7_idAAFFgen4,-13.8,0.0,0.0
6lu7_idAAFEgen4,-9.6,14.996,7.007
6lu7_idAAFEgen4,-9.7,20.203,17.138
6lu7_idAAFEgen4,-9.7,14.927,7.156
6lu7_idAAFEgen4,-9.7,7.622,2.893
6lu7_idAAFEgen4,-9.8,15.124,6.01
6lu7_idAAFEgen4,-9.9,2.528,1.523
6lu7_idAAFEgen4,-10.3,14.838,5.667
6lu7_idAAFEgen4,-10.7,13.483,6.692
6lu7_idAAFEgen4,-11.0,0.0,0.0
6lu7_idAAFCgen4,-9.3,11.401,4.419
6lu7_idAAFCgen4,-9.3,16.132,9.964
6lu7_idAAFCgen4,-9.5,14.13,6.903
6lu7_idAAFCgen4,-9.5,10.639,2.923
6lu7_idAAFCgen4,-9.5,8.684,3.624
6lu7_idAAFCgen4,-9.6,13.695,7.413
6lu7_idAAFCgen4,-9.7,26.584,20.269
6lu7_idAAFCgen4,-10.0,5.511,3.004
6lu7_idAAFCgen4,-10.2,0.0,0.0
6lu7_idAAFBgen4,-10.5,29.423,25.709
6lu7_idAAFBgen4,-10.6,26.7,23.182
6lu7_idAAFBgen4,-10.7,28.639,25.335
6lu7_idAAFBgen4,-10.9,2.307,1.598
6lu7_idAAFBgen4,-10.9,24.457,17.589
6lu7_idAAFBgen4,-11.0,12.285,2.815
6lu7_idAAFBgen4,-11.2,20.905,12.938
6lu7_idAAFBgen4,-11.2,16.631,12.826
6lu7_idAAFBgen4,-12.5,0.0,0.0
6lu7_idAAFAgen4,-6.2,19.122,17.777
6lu7_idAAFAgen4,-6.3,24.558,20.14
6lu7_idAAFAgen4,-6.4,2.605,1.921
6lu7_idAAFAgen4,-6.6,23.244,19.133
